,Original,cpd00001,cpd00002,cpd00003,cpd00004,cpd00005,cpd00006,cpd00008,cpd00009,cpd00010,cpd00012,cpd00014,cpd00015,cpd00016,cpd00017,cpd00023,cpd00032,cpd00033,cpd00035,cpd00038,cpd00039,cpd00041,cpd00050,cpd00051,cpd00052,cpd00053,cpd00054,cpd00056,cpd00060,cpd00062,cpd00065,cpd00066,cpd00067,cpd00069,cpd00080,cpd00084,cpd00087,cpd00099,cpd00104,cpd00107,cpd00115,cpd00119,cpd00125,cpd00129,cpd00130,cpd00132,cpd00137,cpd00156,cpd00159,cpd00161,cpd00163,cpd00201,cpd00205,cpd00214,cpd00241,cpd00322,cpd00331,cpd00345,cpd00347,cpd00356,cpd00357,cpd00536,cpd00604,cpd00834,cpd01059,cpd01080,cpd02197,cpd12844,cpd16443,cpd16503,cpd19001,cpd25914,cpd30321
rxn19277_c0,-0.6178336722561586,-0.6697691480940965,0.0,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,0.0,-0.6178336722561586,-0.6178336722561586,0.0,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,0.0,-0.6178336722561586,-0.6174840613743189,-2.188869552637539,-0.6075471271826262,-0.6177595463929622,0.0,-0.6178336722561586,-0.6201715810632827,0.0,-0.6178458310143172,-0.6182115274974759,-0.6178336722561586,-0.618984633087064,-0.6041965195958533,-0.6188289627546676,-2.1934697489973907,-0.08897975590978553,0.0,-0.6178336722561586,-0.6183394978321373,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,0.0,-0.6181845949185013,-0.6184637923334583,-0.6178336722561586,-0.6179403786970067,-0.6178336722561586,-0.6174671154151051,-0.6178336722561586,0.0,-0.6178336722561586,-0.6176326132757629,0.0,-0.6178336722561586,-0.6178336722561586,-0.6468735850563694,-0.621256570631306,0.0,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,0.0,-0.6181105684792951,-0.6194697198002369,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,-0.6178336722561586,0.0,-0.6178336722561586,-0.6178336722561586
rxn19316_m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn19316_x0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn19343_c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn19343_d0,4.183756239506273,4.535445344269158,0.2956141265508981,4.183756239506273,4.183756239506273,4.183756239506273,4.183756239506273,0.0,4.183756239506273,4.183756239506273,4.18806745802147,4.183756239506273,4.183756239506273,4.183756239506273,4.183756239506273,4.181758984845676,4.183756239506273,4.181388795363246,4.179309661599437,4.114099309062549,4.1832542847617535,4.182847809884021,4.183756239506273,4.199587747543768,4.144801621678008,4.183838574416107,4.186314944695032,4.183756239506273,3.295966604831249,4.091410151725353,4.190496003007685,4.1880930288260565,3.888399667805629,4.184309591197052,4.183756239506273,4.187181515602235,4.183756239506273,4.183756239506273,4.183756239506273,4.184008563570244,4.186132566571646,4.1880231950359015,4.183756239506273,4.184478818668087,4.183756239506273,4.181274043179476,4.183756239506273,4.1823434007179,4.183756239506273,4.182394737532015,0.0,4.183756239506273,4.183756239506273,4.3804044991069615,4.206934925091983,4.184184272810232,4.183756239506273,4.183756239506273,4.183756239506273,4.201329583589481,4.185631285093777,4.194834988410606,4.183756239506273,4.183756239506273,4.183756239506273,4.183756239506273,4.183756239506273,4.183756239506273,4.183756239506273,4.183756239506273,4.014716498854141,4.183756239506273,4.183756239506273
rxn19345_c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn19345_d0,6.740379112452267,7.306979497397439,0.4762589333322921,6.740379112452267,6.740379112452267,6.740379112452267,6.740379112452267,0.0,6.740379112452267,6.740379112452267,6.747324843887435,6.740379112452267,6.740379112452267,6.740379112452267,6.740379112452267,6.737161369155176,6.740379112452267,6.736564963123793,6.733215305784562,6.628156006677742,6.739570421629665,6.738915556809883,6.740379112452267,6.7658849884426955,6.677619984694455,6.740511760836877,6.744501399225712,6.740379112452267,5.857352204248609,6.591601887976963,6.751237431753364,6.747366040579341,6.264535121395335,6.741270608028292,6.740379112452267,6.287950949526747,6.740379112452267,6.740379112452267,6.740379112452267,6.7407856274961,6.744207572907254,6.747253532537881,6.740379112452267,6.741543247552619,6.740379112452267,6.7363800878161,6.740379112452267,6.738102911709927,6.740379112452267,6.73818561958533,0.0,6.740379112452267,6.740379112452267,7.057195806741654,6.777721901857912,6.741068709688939,6.740379112452267,6.740379112452267,6.740379112452267,6.768691230705273,6.743399966773087,6.758227897953325,6.740379112452267,6.740379112452267,6.740379112452267,6.740379112452267,6.740379112452267,6.740379112452267,6.740379112452267,6.740379112452267,6.4680420373839835,6.740379112452267,6.740379112452267
rxn19345_m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn19488_m0,0.05056611694906951,0.05481673562358367,0.0035728798809608144,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.0,0.05056611694906951,0.05056611694906951,0.050618223612173635,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.0505419775377785,0.05056611694906951,0.05053750331802905,0.050512374291633175,0.04972422265848454,0.05056005017532734,0.050555137399626526,0.05056611694906951,0.05075746126248157,0.05009529990140574,0.05056711207312209,0.05059704221782539,0.05056611694906951,0.05066031644414529,0.0494499947835077,0.05064757572658708,0.0506185326691706,0.04699634995232131,0.05057280492150613,0.05056611694906951,0.05060751585039619,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05056916661228243,0.050594837941741605,0.05061768863730641,0.05056611694906951,0.050574850254833374,0.05056611694906951,0.05053611638917179,0.05056611694906951,0.05054904096108153,0.05056611694906951,0.05054966143303346,0.0,0.05056611694906951,0.05056611694906951,0.052942866052902236,0.0508462614075518,0.05057129028640491,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05077851359008197,0.05058877930496245,0.05070001798936258,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.05056611694906951,0.04852305258168079,0.05056611694906951,0.05056611694906951
rxn19544_c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn19544_d0,25.294520127720936,27.42079293853245,1.7872497932534348,25.294520127720936,25.294520127720936,25.294520127720936,25.294520127720936,0.0,25.294520127720936,25.294520127720936,25.320585270445715,25.294520127720936,25.294520127720936,25.294520127720936,25.294520127720936,25.282444950459073,25.294520127720936,25.28020682644361,25.26763661732389,24.87338215306864,25.291485365736456,25.289027864298077,25.294520127720936,25.390235647269506,25.059004885360512,25.29501791533452,25.309989771790306,25.294520127720936,25.34164122714672,24.736206057213273,25.33526798055507,25.320739868656975,23.508827482152828,25.297865629867616,25.294520127720936,25.315228962125442,25.294520127720936,25.294520127720936,25.294520127720936,23.3856574966137,25.308887134148794,25.320317661408385,25.294520127720936,25.298888760142706,25.294520127720936,25.279513047634474,25.294520127720936,24.313538138973495,25.294520127720936,25.28628863976614,0.0,25.294520127720936,25.294520127720936,26.483433409422624,25.434655856362593,25.297107968981944,25.294520127720936,25.294520127720936,25.294520127720936,25.40076659146729,25.305856442658722,25.361500998763383,25.294520127720936,25.294520127720936,25.294520127720936,25.294520127720936,25.294520127720936,25.294520127720936,25.294520127720936,25.294520127720936,24.27252484942659,25.294520127720936,25.294520127720936
rxn19545_d0,6.994979511291035,7.582981761262218,0.4942483835329157,6.994979511291035,6.994979511291035,6.994979511291035,6.994979511291035,0.0,6.994979511291035,6.994979511291035,7.002187599778058,6.994979511291035,6.994979511291035,6.994979511291035,6.994979511291035,6.991640226057877,6.994979511291035,6.991021292330227,6.987545110342913,6.878517467763666,6.994140274262749,6.9934606736171006,6.994979511291035,7.021448805472071,6.92984981969814,6.995117170125433,6.999257506792252,6.994979511291035,7.0080104414438,6.840582611711708,7.006247975538101,7.002230352568594,6.50116174340526,6.995904680808078,6.994979511291035,7.000706359305151,6.994979511291035,6.994979511291035,6.994979511291035,6.99540138138973,6.998952581944015,7.002113594826659,6.994979511291035,6.996187618585727,6.994979511291035,6.990829433835517,6.994979511291035,6.992617332948972,6.994979511291035,6.9927031649005364,0.0,6.994979511291035,6.994979511291035,7.323763137318007,7.0337328280449345,7.50441165664558,6.994979511291035,6.994979511291035,6.994979511291035,7.024361046631486,6.998114470575582,7.013502488529709,6.994979511291035,6.994979511291035,6.994979511291035,6.994979511291035,6.994979511291035,6.994979511291035,6.994979511291035,6.994979511291035,6.712355607132804,6.994979511291035,6.994979511291035
rxn19686_d0,29.918285861546032,32.43323524395287,2.113953929568494,29.918285861546032,29.918285861546032,29.918285861546032,29.918285861546032,0.0,29.918285861546032,29.918285861546032,29.949115637604983,29.918285861546032,29.918285861546032,29.918285861546032,29.918285861546032,29.904003376512637,29.918285861546032,29.901356129846185,29.886488122551054,29.420165072965112,29.914696353774453,29.911789628121397,29.918285861546032,30.03149790299047,29.63971910834751,29.918874643307607,29.936583312183764,29.918285861546032,29.974020562801837,29.257913580212765,29.966482305012402,29.949298495925955,27.806173721793623,29.92224291188999,29.918285861546032,29.942780211485914,29.918285861546032,29.918285861546032,29.918285861546032,29.9200902457031,29.93527911554372,29.948799110403225,29.918285861546032,29.923453067444992,29.918285861546032,29.90053553026038,29.918285861546032,29.908182568637212,29.918285861546032,29.908549681201126,0.0,29.918285861546032,29.918285861546032,2.321037748477268,30.084037999469277,29.921346752767455,29.918285861546032,29.918285861546032,29.918285861546032,30.043953874146762,29.931694422341383,29.023011850939955,29.918285861546032,29.918285861546032,29.918285861546032,29.918285861546032,29.918285861546032,29.918285861546032,29.918285861546032,29.918285861546032,28.70947277749576,29.918285861546032,29.918285861546032
rxn19701_d0,-305.9663921535116,-210.2318667445159,-22.434333145366026,-305.9663921535116,-305.9663921535116,-305.9663921535116,-305.9663921535116,0.0,-305.9663921535116,-305.9663921535116,-306.67342075690925,-305.9663921535116,-305.9663921535116,-305.9663921535116,-305.9663921535116,-306.3065525199157,-305.9663921535116,-306.1037378411286,-307.44383039987804,-306.1240034926458,-303.97030795862224,-306.01909409011705,-305.9663921535116,-307.437098059442,-304.8785574982401,-306.43406554603143,-306.14182335227946,-305.9663921535116,-307.69662941431113,-303.61262088203176,-306.76401213657033,-307.03519578332094,-257.8182859116684,-306.0791822145057,-305.9663921535116,-306.57028866870525,-305.9663921535116,-305.9663921535116,-305.9663921535116,-308.35482094610285,-306.05270987719575,-305.913471306216,-305.9663921535116,-306.8735365789137,-305.9663921535116,-305.8606265410504,-305.9663921535116,-307.17945845792525,-305.9663921535116,-306.34244505049617,0.0,-305.9663921535116,-305.9663921535116,-409.20666388737254,-306.2894752627368,-305.1758078820218,-305.9663921535116,-305.9663921535116,-305.9663921535116,-306.81828093197174,-306.0483238589449,-311.2373349397932,-305.9663921535116,-305.9663921535116,-305.9663921535116,-305.9663921535116,-305.9663921535116,-305.9663921535116,-305.9663921535116,-305.9663921535116,-298.7636614480356,-305.9663921535116,-305.9663921535116
rxn19771_c0,-2.191198401127312,-2.3753918770218987,0.0,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.191198401127312,0.0,-2.191198401127312,-2.191198401127312,-2.1934563565569816,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.1901523599699364,-2.191198401127312,-2.1899584771154923,-2.188869552637539,-2.1547163152030757,-2.190935507600379,-2.1907226206511403,-2.191198401127312,-2.1994899872465776,-2.1707963290620675,-2.191241523171822,-2.1925384961035967,-2.191198401127312,-2.195280379247455,-2.142833107283185,-2.194728281493863,-2.1934697489973907,-2.0365084979341774,-2.1914882132651807,-2.191198401127312,-2.192992353517276,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.1913305532064213,-2.1924429774764382,-2.19343317428305,-2.191198401127312,-2.1915768443762516,-2.191198401127312,0.0,-2.191198401127312,-2.1904584416466655,-2.191198401127312,-2.1904853287640234,0.0,-2.191198401127312,-2.191198401127312,-2.2941908622923877,-1.306513415240045,0.0,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.200402255571309,-2.192180436565845,-2.1970007795394264,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.191198401127312,-2.1026656118729257,-2.191198401127312,-2.191198401127312
