,Original,Modificado
rxn00151_d0,0.0,0.0
rxn00154_d0,579.143274256754,39.85058848552531
rxn00154_m0,7.655460720317967,0.0
rxn00154_n0,0.0,0.0
rxn00159_m0,0.0,0.0
rxn00161_c0,0.0,0.0
rxn00161_d0,0.0,0.0
rxn00166_c0,0.0,0.0
rxn00168_c0,19.244031404177473,1.3960279479252196
rxn00175_d0,6.740379112452338,0.42062666972012436
rxn00178_c0,0.0,0.0
rxn00178_x0,0.0,0.0
rxn00179_c0,0.0,0.0
rxn00179_d0,0.0,0.0
rxn00184_c0,-826.6770997414862,-798.4294098599786
rxn00187_c0,0.0,0.0
rxn00187_d0,0.0,0.0
rxn00187_m0,0.0,0.0
rxn00189_c0,344.0345452321266,0.0
rxn00191_c0,-611.0815409272537,-516.9529528852328
rxn00191_d0,597.5129662125807,0.0006578182682537297
rxn00191_m0,0.0,0.0006578182682537298
rxn00191_x0,0.0,0.0
rxn00192_d0,0.0,0.0
rxn00208_c0,0.0,0.0
rxn00208_d0,0.0,0.0
rxn00209_c0,0.0,0.0
rxn00209_d0,0.0,0.0
rxn00211_c0,64.55607597167392,5.038887934823569
rxn00213_c0,-282.64153912549347,-122.64676364859012
rxn00237_c0,2.2586198903927706,0.39456337052092705
rxn00237_d0,8.137689477482018,137.67216618702713
rxn00237_m0,0.0,0.0
rxn00237_n0,0.0,0.0
rxn00237_x0,0.0,0.0
rxn00239_c0,4.449818291520085,0.4959806667159774
rxn00247_c0,0.0,0.0
rxn00247_n0,0.0,0.0
rxn00248_c0,0.0,0.0
rxn00248_d0,0.0,-1.1342156031174475e-12
rxn00248_m0,311.64683350364254,311.0066514321156
rxn00248_x0,0.0,0.0
rxn00257_c0,-330.7487741191869,-37.99439195788064
rxn00260_c0,0.0,0.0
rxn00260_d0,-57.25213748583004,0.0
rxn00260_m0,0.0,-279.22771041490654
rxn00260_x0,0.05056611694909255,0.0
rxn00272_d0,0.0,0.0
rxn00272_m0,0.00842768615818198,0.0
rxn00272_x0,0.0,0.0
rxn00275_d0,-106.70563980743913,481.0350943220315
rxn00275_m0,-181.25787860819736,0.0
rxn00275_x0,-0.05056611694909254,0.0
rxn00285_m0,0.0,8.543844815126664e-13
rxn00299_c0,0.05056611694909253,0.003946909609522211
rxn00300_d0,0.016855372316363953,0.0013156365365074591
rxn00313_d0,8.0905787118547,0.7316324837163548
rxn00330_c0,0.0,0.0
rxn00333_d0,0.0,0.0
rxn00333_x0,0.05056611694909254,0.003946909609522211
rxn00337_d0,8.090578711854699,0.731632483716355
rxn00338_c0,0.05730826587558544,0.004473164225646648
rxn00338_d0,0.0,0.0
rxn00343_m0,0.0,0.0
rxn00361_c0,0.0,0.0
rxn00361_d0,0.0,0.0
rxn00363_c0,0.0,0.0
rxn00364_c0,0.617833672256294,0.04822465724568536
rxn00366_c0,0.0,0.0
rxn00366_g0,0.0,0.0
rxn00371_c0,0.0,0.0
rxn00371_m0,0.0,0.0
rxn00383_c0,0.0,0.0
rxn00383_x0,0.0,0.0
rxn00391_c0,-0.016855372316363956,-0.0013156365365074594
rxn00391_d0,0.0,0.0
rxn00392_c0,0.0,0.0
rxn00392_d0,0.0,0.0
rxn00394_d0,0.0,0.0
